category,reason,user_externalId,user_timestamp,user_type,user_asset,user_quantity,user_original_row_json,exchange_externalId,exchange_timestamp,exchange_type,exchange_asset,exchange_quantity,exchange_original_row_json
Matched,,USR-001,2024-03-01T09:00:00.000Z,BUY,BTC,0.5,"{""transaction_id"":""USR-001"",""timestamp"":""2024-03-01T09:00:00Z"",""type"":""BUY"",""asset"":""BTC"",""quantity"":""0.5"",""price_usd"":""62000.00"",""fee"":""0.0005"",""note"":""Monthly DCA""}",EXC-1001,2024-03-01T09:00:32.000Z,BUY,BTC,0.5,"{""transaction_id"":""EXC-1001"",""timestamp"":""2024-03-01T09:00:32Z"",""type"":""BUY"",""asset"":""BTC"",""quantity"":""0.5"",""price_usd"":""62000.00"",""fee"":""0.0005"",""note"":""""}"
Matched,,USR-002,2024-03-01T11:30:00.000Z,BUY,ETH,2,"{""transaction_id"":""USR-002"",""timestamp"":""2024-03-01T11:30:00Z"",""type"":""BUY"",""asset"":""ETH"",""quantity"":""2.0"",""price_usd"":""3400.00"",""fee"":""0.002"",""note"":""""}",EXC-1002,2024-03-01T11:30:00.000Z,BUY,ETH,2,"{""transaction_id"":""EXC-1002"",""timestamp"":""2024-03-01T11:30:00Z"",""type"":""BUY"",""asset"":""ETH"",""quantity"":""2.0"",""price_usd"":""3400.00"",""fee"":""0.002"",""note"":""""}"
Matched,,USR-003,2024-03-02T08:15:00.000Z,SELL,BTC,0.1,"{""transaction_id"":""USR-003"",""timestamp"":""2024-03-02T08:15:00Z"",""type"":""SELL"",""asset"":""BTC"",""quantity"":""0.1"",""price_usd"":""63200.00"",""fee"":""0.0001"",""note"":""Partial exit""}",EXC-1003,2024-03-02T08:15:10.000Z,SELL,BTC,0.1,"{""transaction_id"":""EXC-1003"",""timestamp"":""2024-03-02T08:15:10Z"",""type"":""SELL"",""asset"":""BTC"",""quantity"":""0.1"",""price_usd"":""63200.00"",""fee"":""0.0001"",""note"":""""}"
Matched,,USR-004,2024-03-02T14:45:00.000Z,TRANSFER_OUT,ETH,1,"{""transaction_id"":""USR-004"",""timestamp"":""2024-03-02T14:45:00Z"",""type"":""TRANSFER_OUT"",""asset"":""ETH"",""quantity"":""1.0"",""price_usd"":"""",""fee"":""0.001"",""note"":""Sent to hardware wallet""}",EXC-1004,2024-03-02T14:45:00.000Z,TRANSFER_IN,ETH,1,"{""transaction_id"":""EXC-1004"",""timestamp"":""2024-03-02T14:45:00Z"",""type"":""TRANSFER_IN"",""asset"":""ETH"",""quantity"":""1.0"",""price_usd"":"""",""fee"":""0.001"",""note"":""Received from user wallet""}"
Matched,,USR-005,2024-03-03T10:00:00.000Z,BUY,BTC,0.25,"{""transaction_id"":""USR-005"",""timestamp"":""2024-03-03T10:00:00Z"",""type"":""BUY"",""asset"":""bitcoin"",""quantity"":""0.25"",""price_usd"":""61800.00"",""fee"":""0.00025"",""note"":""Note: BTC referred to as bitcoin""}",EXC-1005,2024-03-03T10:02:00.000Z,BUY,BTC,0.25,"{""transaction_id"":""EXC-1005"",""timestamp"":""2024-03-03T10:02:00Z"",""type"":""BUY"",""asset"":""BTC"",""quantity"":""0.25"",""price_usd"":""61800.00"",""fee"":""0.00025"",""note"":""""}"
Matched,,USR-006,2024-03-03T16:20:00.000Z,BUY,USDT,500,"{""transaction_id"":""USR-006"",""timestamp"":""2024-03-03T16:20:00Z"",""type"":""BUY"",""asset"":""USDT"",""quantity"":""500.00"",""price_usd"":""1.00"",""fee"":""0.5"",""note"":""Stablecoin purchase""}",EXC-1006,2024-03-03T16:20:00.000Z,BUY,USDT,500,"{""transaction_id"":""EXC-1006"",""timestamp"":""2024-03-03T16:20:00Z"",""type"":""BUY"",""asset"":""USDT"",""quantity"":""500.00"",""price_usd"":""1.00"",""fee"":""0.5"",""note"":""""}"
Matched,,USR-007,2024-03-04T09:05:00.000Z,SELL,ETH,0.5,"{""transaction_id"":""USR-007"",""timestamp"":""2024-03-04T09:05:00Z"",""type"":""SELL"",""asset"":""ETH"",""quantity"":""0.5"",""price_usd"":""3450.00"",""fee"":""0.0005"",""note"":""""}",EXC-1007,2024-03-04T09:05:55.000Z,SELL,ETH,0.5,"{""transaction_id"":""EXC-1007"",""timestamp"":""2024-03-04T09:05:55Z"",""type"":""SELL"",""asset"":""ETH"",""quantity"":""0.5"",""price_usd"":""3450.00"",""fee"":""0.0005"",""note"":""""}"
Matched,,USR-008,2024-03-04T12:00:00.000Z,BUY,SOL,10,"{""transaction_id"":""USR-008"",""timestamp"":""2024-03-04T12:00:00Z"",""type"":""BUY"",""asset"":""SOL"",""quantity"":""10.0"",""price_usd"":""140.00"",""fee"":""0.01"",""note"":""""}",EXC-1008,2024-03-04T12:00:00.000Z,BUY,SOL,10,"{""transaction_id"":""EXC-1008"",""timestamp"":""2024-03-04T12:00:00Z"",""type"":""BUY"",""asset"":""SOL"",""quantity"":""10.0"",""price_usd"":""140.00"",""fee"":""0.01"",""note"":""""}"
Matched,,USR-009,2024-03-05T08:30:00.000Z,TRANSFER_OUT,BTC,0.05,"{""transaction_id"":""USR-009"",""timestamp"":""2024-03-05T08:30:00Z"",""type"":""TRANSFER_OUT"",""asset"":""BTC"",""quantity"":""0.05"",""price_usd"":"""",""fee"":""0.0001"",""note"":""Sent to cold storage""}",EXC-1009,2024-03-05T08:30:00.000Z,TRANSFER_IN,BTC,0.05,"{""transaction_id"":""EXC-1009"",""timestamp"":""2024-03-05T08:30:00Z"",""type"":""TRANSFER_IN"",""asset"":""BTC"",""quantity"":""0.05"",""price_usd"":"""",""fee"":""0.0001"",""note"":""""}"
Matched,,USR-010,2024-03-05T15:00:00.000Z,BUY,ETH,1.5,"{""transaction_id"":""USR-010"",""timestamp"":""2024-03-05T15:00:00Z"",""type"":""BUY"",""asset"":""ETH"",""quantity"":""1.5"",""price_usd"":""3500.00"",""fee"":""0.0015"",""note"":""""}",EXC-1010,2024-03-05T15:00:00.000Z,BUY,ETH,1.5,"{""transaction_id"":""EXC-1010"",""timestamp"":""2024-03-05T15:00:00Z"",""type"":""BUY"",""asset"":""ETH"",""quantity"":""1.5"",""price_usd"":""3500.00"",""fee"":""0.002"",""note"":""""}"
